County	Maryland	Frederick County		Frederick County Rental Assistance Program	The Religious Coalition wants to remind all Frederick County residents who are struggling to pay rent to contact us for assistance.  Whether you were or were not affected by COVID-19, if you are behind in rent the Coalition may be able to help.	https://www.thereligiouscoalition.org/rental-assistance-program/		Accepting applications	Religious Coalition, Spanish Speaking Community of Maryland, Inc.	Private-private collaboration	Unspecified	Other	$15,322,989.20	Treasury ERA1 and Treasury ERA2	Both	12 months			Yes		electricity, gas, water, sewer, trash, fuel oil	Unknown		Both	Unknown		Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease	Past Due Rent	Yes	Self-Attestation Permitted	Unspecified	Unspecified	W-9/Payee Information	https://www.wfmd.com/2021/03/09/county-executive-announces-expansion-of-the-frederick-county-rental-assistance-program/						3/16/2021	7/28/2022	Frederick County, Maryland	39.3844507, -77.4701972
County	Maryland	Harford County		Harford County COVID-19 Emergency Rental Assistance	HCAA is providing Rental Assistance to households affected by the Covid-19 Crisis in order to prevent pandemic related evictions.	https://harfordcaa.org/erap/		Program permanently closed	Community Action Agency	Single agency (CBOs/NPs)	Unspecified	n/a	$14,591,617.50	Treasury ERA1 and Treasury ERA2	Both	12 months			Unknown			Unknown		Both	No		Prioritization required, Process not established on website		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease	Eviction Notice, Past Due Rent	Unknown	Self-Attestation Permitted	COVID Hardship	Unspecified		https://harfordcaa.org/erap/#1598454338896-614a3580-95ea	https://www.uwcm.org/housing-programs/step					4/19/2021	7/28/2022	Harford County, Maryland	39.5838964, -76.3637285
County	Maryland	Howard County		Howard County Emergency Rental Assistance Program	Howard County Executive Calvin Ball on Thursday announced applications are now open for residents to receive rental relief and utility assistance from the $9.7 million in grant funding Howard was awarded from the U.S. Department of Treasury in January. Through the program, residents affected by the ongoing coronavirus pandemic can receive rental and utility assistance for up to 12 months regardless of whatever previous grant assistance they have received.	https://www.howardcountymd.gov/Departments/Housing-and-Community-Development/COVID-19-Housing-Information		Applications on hold/Waitlist	Community Action Council	Single agency (CBOs/NPs)	Unspecified	n/a	$21,950,878.60	Treasury ERA1 and Treasury ERA2	Both	15 months			Yes			Unknown		Tenant	Unknown		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease		Unknown	Unknown		Unspecified		https://www.baltimoresun.com/maryland/howard/cng-ho-rental-assistance-open-20210312-sp54a4qderhl7poujsssviaafq-story.html						3/16/2021	7/28/2022	Howard County, Maryland	39.2873463, -76.964306
County	Maryland	Montgomery County		Montgomery CountyRent Relief Program	The COVID-19 Rent Relief Program provides short-term rental assistance to eligible households who have experienced lost income due to the COVID-19 pandemic that has caused them to fall behind on their rent. The program is managed by the County's Department of Health and Human Services (DHHS) with funding from the Department of Treasury's Emergency Rental Assistance Program.  	https://www.montgomerycountymd.gov/HHS/RightNav/COVID19_RentReliefProgram.html		Accepting applications	Department of Health and Human Services, multiple nonprofits	Public-private collaboration	Unspecified	Intake support	$94,037,532.80	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months	TOTAL: $12,000	Yes		electricity, heating	Yes	Relocation Expenses	Both	Yes		Prioritization required, Process not established on website	Active/ at risk of eviction	Other	50% AMI or less, Hardship due to COVID, Housing Instability, Any govt. ID, Owe at least $1,000 in arrears, have been a Montgomery County resident since at least August 2020		Yes	Self-Attestation Permitted	COVID Harship, Income, Income Non-Traditional, Lease	Unspecified	Waive Late Fees, Eviction Restrictions During Covered Period AND Future Months, Rental Ledger/ Lease, Rental Registry, Offer lease renewal for a 90 day period if lease has expired; If a tenant earns 30% AMI and receives additional funds LL must forgive 10% of their total rental debt	https://www.montgomerycountymd.gov/HHS-Program/SNHS/rent-relief.html	https://www2.montgomerycountymd.gov/mcgportalapps/Press_Detail.aspx?Item_ID=39561	https://www2.montgomerycountymd.gov/mcgportalapps/Press_Detail.aspx?Item_ID=39561				4/19/2021	7/28/2022	Montgomery County, Maryland	39.1547426, -77.2405153
County	Maryland	Prince George's County		Prince George's County Emergency Rental Assistance Program (ERAP)	The Prince George’s County Department of Housing and Community Development (DHCD) will offer relief to landlords on behalf of renters and tenants experiencing financial difficulties due to the COVID-19 pandemic through its 3rd round of funding for the Emergency Rental Assistance Program (ERAP).	https://www.princegeorgescountymd.gov/3703/Emergency-Rental-Assistance-Program		Applications on hold/Waitlist	Department of Housing and Community Development, multiple nonprofits	Public-private collaboration	Unspecified	Intake support	$85,922,054.18	Treasury ERA1 and Treasury ERA2	Arrears only	15 months	18 months		Yes	18 months		Unknown		Both	Unknown		Prioritization required, Process established on website	Priority census tracts based on housing stress, social factors, pandemic effect, facing court-ordered evic	Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease, Utility bills if asking for assistance	Eviction Notice, Past Due Rent	Yes	Self-Attestation Permitted	COVID Hardship, Income, Lease	Fact-specific proxy	W-9/Payee Information, Eviction Restrictions During Covered Period AND Future Months, Rental Ledger/ Lease, Property Deed, Lease	https://content.govdelivery.com/accounts/MDPGC/bulletins/2c4a2c6?reqfrom=share						3/5/2021	7/28/2022	Prince George's County, Maryland	38.78492110000001, -76.8720961
Region	Maryland	Regional		The Strategic Targeted Eviction Prevention (STEP) Program	The STEP Program is a new United Way of Central Maryland initiative that provides rental assistance to households who have been impacted by the COVID pandemic and financial crisis. The program is offered to target ZIP codes that have both high rates of COVID and high rates of poverty. This program is unique because it works with landlords so that they can submit several past-due accounts at the same time to prevent many evictions at once.	https://www.uwcm.org/housing-programs/step	Anne Arundel County, Baltimore County, Baltimore City, Howard County, Harford County	Accepting applications	United Way of Central Maryland	Single agency (CBOs/NPs)	Unspecified	n/a	$0.00	Treasury ERA2 only	Both		12 months		Yes		electric, water, sewer, trash	Unknown		Landlord	Yes		Prioritization required, Process established on website		Other			Unknown	Unknown		Unspecified								5/2/2022	7/28/2022	Regional, Maryland	38.78492110000001, -76.8720962
State	Massachusetts			Massachusetts Emergency Rental Assistance Program (ERAP)	Federal Emergency Rental Assistance Program may provide up to 18 months of ​help with overdue and/or future rent (due on or after 3/13/20), ​as well as some help with utility costs.  Applicants must have had a COVID-related financial hardship.	https://www.mass.gov/CovidHousingHelp	State of Massachusetts, Plymouth County	Applications on hold/Waitlist	Department of Housing and Community Development, Regional Administering Agency	Public-private collaboration	Yes	Intake support	$794,323,837.20	Treasury ERA1 and Treasury ERA2	Both	15 months	18 months		Yes	$2,500 per household	gas, electricity, deliverable fuel	Yes	Relocation Expenses, Uncategorized Housing Stability Services	Both	Yes	5-7 days	Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease	Eviction Notice, Past Due Rent, Doubled up	Yes	Self-Attestation Permitted	COVID Hardship, Housing Instability, Lease	Fact-specific proxy and Categorical Eligibility	W-9/Payee Information, Rental Ledger/ Lease, Proof of ownership	https://www.smoc.org/pdf/English%20Federal%20ERAP%20-%20Application%20Guidance%20Document%20Letterhead.pdf	https://archives.lib.state.ma.us/bitstream/handle/2452/848305/on1265437576.pdf?sequence=1&isAllowed=y	https://www.einnews.com/pr_news/552838695/baker-polito-administration-reaches-major-milestone-in-distribution-of-rental-assistance	https://www.mass.gov/doc/central-application-user-guide/download			4/21/2021	7/19/2022	Massachusetts	42.4072107, -71.3824374
City	Massachusetts	Boston		City of Boston’s Rental Relief Fund	The City of Boston’s Rental Relief Fund was established to help Bostonians at risk of losing their rental housing due to the COVID-19 pandemic. This fund is administered and managed by the Office of Housing Stability (OHS) in partnership with nonprofit housing agencies.	https://www.boston.gov/departments/housing/office-housing-stability/rental-relief-fund		Accepting applications	Office of Housing Stability, Metro Housing, Neighborhood Affordable Housing, Project Hope	Public-private collaboration	Unspecified	Unknown	$50,763,801.30	Treasury ERA1 and Treasury ERA2	Both	15 months	15 months	TOTAL: $17,000	Yes	$2,000 per household	electricity, heating oil, natural gas	Yes	Relocation Expenses, Late Fees, Internet	Both	No		Prioritization required, Process not established on website		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease, Cannot be a full time college or graduate student	Eviction Notice, Past Due Rent, Letter from host if doubled up	Yes	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional, Housing Instability, Lease	Categorical Eligibility	W-9/Payee Information, Eviction Restrictions During Covered Period AND Future Months, Proof of ownership, must participate in at least one mediation session if any issues arise with tenancy							4/19/2021	7/19/2022	Boston, Massachusetts	42.3600825, -71.0588801
Tribal Government	Massachusetts		Mashpee Wampanoag Tribe	Mashpee Wampanoag Tribe Emergency Rental Assistance Program	To assist families with the ongoing Coronavirus pandemic, the Mashpee Wampanoag Tribe Housing Department is providing emergency mortgage and rent assistance.	https://mashpeewampanoagtribe-nsn.gov/emergency-covid-rental-assistance		Program permanently closed	Mashpee Wampanoag Tribe Housing Department	Single agency (public sector)	Unspecified	n/a	$1,037,664.26	Treasury ERA1 only	Both			TOTAL:$3,000 in arrears MONTHLY: $500	Unknown			Yes	Relocation Expenses, Late Fees	Unknown	Unknown		Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Past Due Rent	Yes	Self-Attestation Permitted	COVID Harship, Housing Instability	Unspecified	W-9/Payee Information	https://mashpeewampanoagtribe-nsn.gov/july-2021-mittark-blog/2021/7/1/treasury-emergency-rental-assistance-now-available						6/21/2021	7/19/2022	Mashpee Wampanoag Tribe	41.5955491, -70.4760928
State	Michigan			Michigan COVID Emergency Rental Assistance (CERA)	The Michigan State Housing Development Authority (MSHDA) will administer the COVID Emergency Rental Assistance (CERA) Program through its network of local nonprofit agencies starting March 15, 2021. CERA can provide rental and utility assistance for eligible renter households so that they retain their housing stability.	https://www.michigan.gov/mshda/rental/cera	State of Michigan, Genesee County, Detroit	Applications on hold/Waitlist	Michigan State Housing Development Authority, multiple nonprofits	Public-private collaboration	Unspecified	Targeted outreach, Intake support, Case management	$1,116,738,601.90	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months	MONTHLY: 150% FMR	Yes	One-time (flat payment based on household size)	Electricity, home heating (any type of fuel), water, sewer, trash	Yes	Internet	Both	Yes	14 days	Prioritization required, Process established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Any govt. ID, Current Lease	Eviction Notice, Past Due Rent	Unknown	Self-Attestation Permitted	COVID Hardship, Housing Instability	Categorical Eligibility	W-9/Payee Information, Waive Late Fees, Eviction Restrictions During Covered Period AND Future Months, Rental Ledger/ Lease, If CERA payment does not fully satisfy Tenant's financial obligation, landlord needs to enter into a repayment plan	https://www.michigan.gov/mshda/0,4641,7-141-5555-533463--,00.html	https://www.michigan.gov/documents/mshda/CERA_Contact_List_717582_7.pdf	https://www.freep.com/story/news/local/michigan/2021/03/12/michigan-rent-aid-eviction-aid-federal-money-to-avoid-eviction/6925853002/	https://www.detroitnews.com/story/news/local/detroit-city/2021/09/17/detroit-announces-new-eviction-assistance-prevention-program/8378250002/			3/15/2021	7/19/2022	Michigan	44.3148443, -85.60236429999999
City	Michigan	Detroit		Detroit COVID Emergency Rental Assistance Program	There is help for residents of Detroit, Highland Park and Hamtramck! Local protections against eviction and money for rent & utilities are available. If you are facing eviction or just behind on rent, money is available through the Covid-19 Emergency Rental Assistance Program (CERA). We can help you get caught up.	www.detroitevictionhelp.com		Applications on hold/Waitlist	Housing and Revitalization Department, Michigan State Housing Development, multiple nonprofits	Intergovernmental collaboration + private collaboration	Unspecified	Targeted outreach, Intake support, Case management	$28,081,330.10	Treasury ERA2 only	Both		12 months	MONTHLY: 150% FMR	Yes	One-time (flat payment based on household size)	Electricity, home heating, water, sewer, trash	Yes	Internet	Both	Yes		Prioritization required, Process established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Any govt. ID, Current Lease	Eviction Notice, Past Due Rent, Past due utility bill	Unknown	Self-Attestation Permitted	COVID Hardship	Categorical Eligibility	W-9/Payee Information, Eviction Restrictions During Covered Period AND Future Months, Rental Ledger/ Lease, Verification of court costs	https://detroitmi.gov/node/45221						12/7/2021	7/19/2022	Detroit, Michigan	42.331427, -83.0457538
County	Michigan	Macomb County		Macomb County COVID Emergency Rental Assistance (CERA) Program	Behind on your rent? Facing eviction? Macomb County has teamed up with the Michigan State Housing Development Authority (MSHDA) to assist income-eligible residents stay in their home and pay their past-due rent. CERA, or the COVID Emergency Rental Assistance program, can provide rental and utility assistance for renters to help them maintain housing stability.	https://www.macombgov.org/cera		Applications on hold/Waitlist	Macomb County Family resource Center, Michigan State Housing Development Authority, Max Thompson Family Resource Center	Intergovernmental collaboration + private collaboration	Unspecified	Targeted outreach, Intake support, Application processing	$52,083,222.00	Treasury ERA1 and Treasury ERA2	Both	12 months	12 months	MONTHLY: 150% FMR	Yes	One-time (flat payment based on houshold size)	electricity, home heating (any type of fuel), water, sewer, trash	Yes	Internet	Both	Unknown		Prioritization required, Process established on website		First-come first-served	80% AMI or less, Hardship during OR due to COVID, Housing Instability, Any govt. ID, Current Lease	Eviction Notice, Past Due Rent	Unknown	Self-Attestation Permitted	COVID Hardship	Categorical Eligibility	W-9/Payee Information, Rental Ledger/ Lease, Verification of court costs	https://www.macombgov.org/cera						4/27/2021	7/19/2022	Macomb County , Michigan	42.7168759, -82.82097399999999
County	Michigan	Wayne County		Wayne County Emergency Rental Assistance Program	The Wayne County Emergency Rental Assistance Program (ERAP) is available to landlords and their renters within Wayne County who have been financially impacted by the COVID-19 pandemic, who are experiencing housing instability, and whose household income is at or below 80% of Area Median Income (AMI). The applicant must be applying for a residence in Wayne County (excluding Detroit).	https://www.waynecounty.com/departments/econdev/emergency-rental-assistance.aspx		Applications on hold/Waitlist	Wayne County Department of Economic Development, multiple nonprofits, faith centers	Public-private collaboration	Unspecified	Intake support	$32,687,627.60	Treasury ERA2 only	Both		12 Months		Yes	One-time (flat payment based on household size)	electricity, home heating, water, sewer, trash	Yes	Relocation Expenses, Internet	Both	Yes		Prioritization required, Process not established on website		Unknown	80% AMI or less, Hardship during OR due to COVID, Housing Instability, Any govt. ID, Current Lease, Utility bill if requesting utility assistance	Eviction Notice, Past Due Rent, Past due utility bill	Unknown	Self-Attestation Permitted	COVID Hardship, Income, Income Non-Traditional, Housing Instability, Lease	Categorical Eligibility	W-9/Payee Information, Eviction Restrictions During Covered Period AND Future Months, Rental Ledger/ Lease, Proof of missed rent payment, direct deposit form or voided check, must void late fees above $400	https://www.waynecounty.com/departments/econdev/emergency-rental-assistance.aspx						9/27/2021	7/19/2022	Wayne County , Michigan	42.2790746, -83.33618799999999
Tribal Government	Michigan		Bay Mills Indian Community Housing Authority	Bay Mills Indian Community Housing Authority Rental Assistance Program	The Bay Mills Indian Community Emergency Rental Assistance Program funded by the U.S. Department of Treasury was established to support Bay Mills Indian Community Members who have been negatively impacted due to COVID-19.	https://m.facebook.com/Bay-Mills-Housing-Authority-103673568052335/		Accepting applications	Bay Mills Indian Community Housing Authority	Single agency (public sector)	Unspecified	n/a	$1,004,457.02	Treasury ERA1 only	Unknown				Yes		electric, gas, water, propane	Yes	Internet	Tenant	Unknown		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card	Eviction Notice, Past Due Rent, Past Due Utility	Unknown	Unknown		Unspecified	Tribal ID	https://m.facebook.com/story.php?story_fbid=245887333830957&id=103673568052335&__tn__=%2As%2As-R	https://drive.google.com/file/d/1HBkhb4EI_ANfRnvy-H12XkvWCCVUXeM6/view					5/12/2021	7/19/2022	Bay Mills Indian Community Housing Authority	46.4569683, -84.612738
Tribal Government	Michigan		Grand Traverse Band Of Ottawa And Chippewa Indians	Grand Traverse Band Of Ottawa And Chippewa Indians Rental Assistance Program	An application for rental assistance may be submitted by either an eligible household or by a landlord on behalf of that eligible household. Households and landlords must apply through programs established by Grand Traverse Band Housing. Eligible households may receive up to 12 months of assistance to ensure housing stability. The payments can cover rent, rental arrears, utilities and home energy costs, utilities and home energy costs arrears, and other expenses related to housing.	http://gtbindians.org/housing_dept.asp		Applications on hold/Waitlist	Grand Traverse Band Of Ottawa And Chippewa Indians Housing Department	Single agency (public sector)	Unspecified	n/a	$1,665,689.51	Treasury ERA1 only	Both	12 months	12 months		Yes	12 months	electricity, gas, water and sewer, trash removal, energy costs	Yes	Internet, Uncategorized Housing Expenses	Both	Yes	21 days	Prioritization required, Process not established on website	Member of household is a tribal member, member of houshold is a member of any Indian Tribe	First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease	Eviction Notice, Past Due Rent, Unsafe or unhealthy living situtation	Yes	Self-Attestation Permitted	COVID Hardship	Unspecified	W-9/Payee Information, Tribal ID	http://gtbindians.org/downloads/erap_policy.pdf	http://gtbindians.org/downloads/erap_application_and_financial_documentation.pdf	http://gtbindians.org/downloads/erap_newsletter_submission_1.pdf				5/12/2021	7/19/2022	Grand Traverse Band Of Ottawa And Chippewa Indians	45.0207858, -85.6047935
Tribal Government	Michigan		Keweenaw Bay Indian Community	Keweenaw Bay Indian Community COVID-19 Emergency Rental Assistance Program 	If you have been affected by the COVID-19 Pandemic the KBIC Housing Department now has a COVID-19 Emergency Rental Assistance Program to help alleviate costs. If you are a renter; needing a rent deposit; and/or have utility costs and are in need of financial assistance to maintain housing stability, you may be eligible for assistance.	https://www.kbic-nsn.gov/index.php/departments/ojibwa-housing		Accepting applications	Keweenaw Bay Indian Community (KBIC) Housing Department	Single agency (public sector)	Unspecified	n/a	$2,486,483.31	Treasury ERA1 only	Both				Yes		Electric, Gas, Propane, Fuel Oil, Water, Sewer, Garbage, Internet	Yes	Internet	Tenant	Unknown		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease	Eviction Notice, Past Due Rent, Unsafe or unhealthy living conditions, rent/utilities are unaffordable, household struggles to buy essential goods/services, household takes outloans to afford rent	Unknown	Self-Attestation Permitted	COVID Hardship, Housing Instability	Unspecified	W-9/Payee Information	https://www.kbic-nsn.gov/index.php/departments/ojibwa-housing	https://www.kbic-nsn.gov/application/files/7416/2065/7274/ERAP_Application_2021.pdf					7/16/2021	7/19/2022	Keweenaw Bay Indian Community	46.7816243, -88.5082819
Tribal Government	Michigan		Lac Vieux Desert Band Of Lake Superior Chippewa	Lac Vieux Desert Band Of Lake Superior Chippewa Emergency Rental Assistance Program	The goal of the Lac Vieux Desert Band of Lake Superior Chippewa Indians COVID-19 Emergency Rental Assistance Program is to provide emergency rental assistance for the payment of rents and utilities, and arrearages for the same, for low-income Tribal members who have disproportionately suffered from the impacts of the COVID-19 pandemic. To participate in the ERA Program, an applicant or a landlord/owner acting on behalf of the Applicant must submit a complete, written application to the Tribe. If approved, they must then submit information and supporting documentation each month for the Rents and Utility Costs for which they seek continued Financial Assistance.	https://www.lvd-nsn.gov/News/Emergency-Rental-Assistance-Program.cfm		Program permanently closed	Lac Vieux Desert Band Of Lake Superior Chippewa	Single agency (public sector)	Unspecified	n/a	$351,915.63	Treasury ERA1 only	Both	15 months	12 months		Yes			Yes	Internet, Uncategorized Housing Expenses	Both	Yes	21 days	Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease	Eviction Notice, Past Due Rent, Unsafe or unhealthy living situtation	Yes	Self-Attestation Permitted	COVID Hardship	Unspecified	W-9/Payee Information	https://www.lvd-nsn.gov/News/Emergency-Rental-Assistance-Program.cfm#:~:text=The%20goal%20of%20the%20Lac,from%20the%20impacts%20of%20the	https://www.lvd-nsn.gov///media/pdf/LVD%20COVID-19%20Emergency%20Rental%20Assistance%20Program%20Policy%20&%20Application.pdf					5/12/2021	7/19/2022	Lac Vieux Desert Band Of Lake Superior Chippewa	46.2679475, -89.1783221
Tribal Government	Michigan		Little River Band of Ottawa Indians	Little River Band of Ottowa Indians Emergency Rental Assistance Program	The COVID-19 pandemic poses an immediate and imminent threat to the health, safety, and well-being of the Tribe. The purpose of the ERA Program is to provide emergency rental assistance for the payment of rents and utilities, and arrearages for the same, for low-income Tribal members and other Indian families who have disproportionately suffered from the impacts of the COVID-19 pandemic. The ERA Program is designed to assist Tribal and other Indian households whose income is at or below 80% of the Median Income who face potential eviction or homelessness because they are unable to pay rent and utilities due to the COVID-19 pandemic.	https://lrboi-nsn.gov/emergency-rental-assistance-program/		Program permanently closed	Little River Band Housing Department	Single agency (public sector)	Unspecified	n/a	$382,238.52	Treasury ERA1 only	Both	15	12		Yes		electricity, gas, water and sewer, trash, fuel oil	Unknown		Both	Yes	21	Prioritization required, Process not established on website	One of more household members is a Little River Band of Ottowa Indians Tribal member, or one or more household members is a member of an Indian tribe and living on Little River Band land; one or more members of household unable to reach place of emplyment or place of employment closed due to COVID-19	Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, SSN	Eviction Notice, Past Due Rent, Past due utility, unsafe or unhealthy living conditions	Yes	Self-Attestation Permitted	COVID Hardship	Unspecified	W-9/Payee Information	https://lrboi-nsn.gov/emergency-rental-assistance-program/	https://lrboi-nsn.gov/wp-content/uploads/2021/04/ERAP-Application.04.28.21.pdf	https://lrboi-nsn.gov/wp-content/uploads/2021/04/ERAP-Policy.pdf				5/20/2021	7/19/2022	Little River Band of Ottawa Indians	44.2841907, -86.2403148
Tribal Government	Michigan		Little Traverse Bay Band of Odawa Indians	Little Traverse Bay Band of Odowa Indians Covid-19 Emergency Rental Assistance Programs	Are you behind on rent payments due to COVID-19? If so, contact the LTBB Housing Department. This program will pay for rental arrearage costs that have incurred due to COVID-19 (renters only, no mortgages). It is available to LTBB Citizens in any US State. Income restrictions will apply, based on individual state guidelines. Program is funded by the Department of Treasury and is only available until September 2021.	https://ltbbodawa-nsn.gov/departments/housing-department/		Accepting applications	Little Traverse Bay Band of Odawa Indians Housing Department	Single agency (public sector)	Unspecified	n/a	$793,591.52	Treasury ERA1 only	Both	15 months			Yes	12 months	Electricity, gas, water, sewer, trash removal, internet	Yes	Uncategorized Housing Expenses	Both	Yes		Prioritization required, Process established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs	Eviction Notice, Past Due Rent, Unsafe or unhealthy living situtation, past due utility	Unknown	Self-Attestation Permitted	COVID Hardship	Unspecified	W-9/Payee Information	https://ltbbodawa-nsn.gov/departments/housing-department/	https://ltbbodawa-nsn.gov/wp-content/uploads/2021/03/ERAP-Application-2021-fillable-online.pdf					5/20/2021	7/19/2022	Little Traverse Bay Band of Odawa Indians	45.4377784, -84.9194107
Tribal Government	Michigan		Pokagon Band of Potawatomi Indians	Pokagon Band of Potawatomi Indians COVID-19 Emergency Assistance Program 2021	Assistance is limited and subject to available funding for households either who have an increased need or job loss related need.	https://www.pokagonband-nsn.gov/citizens/covid-19-emergency-assistance-program-2021		Program permanently closed	Pokagon Band of Potawatomi Department of Social Services	Single agency (public sector)	Unspecified	n/a	$2,724,503.87	Treasury ERA1 only	Unknown			MONTHLY: $1,500	Unknown			Unknown		Unknown	Unknown		Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Unspecified		Unknown	Unknown		Unspecified								6/21/2021	7/19/2022	Pokagon Band of Potawatomi Indians	41.946445, -86.19563
Tribal Government	Michigan		Saginaw Chippewa Indian Tribe Of Michigan	Saginaw Chippewa Indian Tribe Of Michigan Covid-19 Rental Assistance Program	The Saginaw Chippewa Indian Tribe’s Housing Department is now taking applications from eligible renter households. The following types of assistance are included: rent arrears, utility arrears, water/sewer, and trash removal arrears occurring after March 13, 2020; security deposit, and application fees; and prospective rent, utilities, water/sewer, and trash removal.	http://www.sagchip.org/news.aspx?newsid=3584		Accepting applications	Saginaw Chippewa Indian Tribe Housing Department	Single agency (public sector)	Unspecified	n/a	$2,022,682.92	Treasury ERA1 only	Both				Yes		electricity, gas, home heating fuel, water/sewer, and trash removal	Yes	Relocation expenses, Late Fees	Both	No		Unspecified		First-come first-served	80% of AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, SSN	Eviction Notice, Past Due Rent, Past due utility, unsafe or unhealthy living conditions	Yes	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information, Tribal ID, SSN	http://www.sagchip.org/housing/index.htm#.YKajLJNKjOR	http://www.sagchip.org/housing/pdf/2021/COVID-Emergency-Rent-Assist-App.pdf	http://www.sagchip.org/news/files/CERAFlyerMayObserverpdf_2021-04-26.pdf				5/20/2021	7/19/2022	Saginaw Chippewa Indian Tribe Of Michigan	43.60378679999999, -84.7069005
Tribal Government	Michigan		Sault Ste. Marie Tribe of Chippewa Indians	Sault Tribe Housing Authority Emergency Rental Assistance Program	Due to the COVID-19 Pandemic, are you at risk for housing instability? Facing Eviction? Behind on your rent or utilities? Income eligible members of the Sault Ste. Marie Tribe of Chippewa Indians and households who rent homes anywhere in the United States may make application for assistance. Emergency rental assistance can provide funding to assist with rental arrears, utility arrears, current and prospective rent payments, and prospective utilities and home energy costs and other housing expenses incurred related to housing due, directly or indirectly, to COVID-19 that qualify for assistance under federal law.	https://www.saulttribe.com/newsroom/207-housing-news/7234-housing-offers-emergency-rental-assistance		Applications on hold/Waitlist	Sault Tribe Housing Authority	Single agency (public sector)	Unspecified	n/a	$6,601,035.28	Treasury ERA1 only	Both				Yes		electricity, gas, water/sewer, fuel oil, trash, internet	Yes	Relocation Expenses, Late Fees, Hotel/Motel Stays, Internet	Both	No		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, SSN	Eviction Notice, Past Due Rent, Past due utility, unsafe or unhealthy living conditions	Unknown	Self-Attestation Permitted	COVID Hardship, Income, Housing Instability	Unspecified	W-9/Payee Information, Tribal ID, SSN	https://www.saulttribe.com/newsroom/207-housing-news/7234-housing-offers-emergency-rental-assistance	https://www.saulttribe.com/images/downloads/membership%20services/Housing/Fillable%20-%20Emergency%20Rental%20Assistance%20Application.pdf	https://www.saulttribe.com/images/Emergency_Rental_Assistance_Program_Flyer.pdf				5/20/2021	7/19/2022	Sault Ste. Marie Tribe of Chippewa Indians	46.4967684, -84.34803800000002
